"","Day_Article","Pariticipant_1_Eval","Pariticipant_2_Eval","Pariticipant_3_Eval","Pariticipant_4_Eval","Pariticipant_5_Eval"
"1","Day_1_1","t","m","m","m","m"
"2","Day_1_2","t","t","t","t","t"
"3","Day_1_3","m","c","c","m","m"
"4","Day_1_4","t","m","t","t","t"
"5","Day_1_5","t","t","t","t","t"
"6","Day_10_1","t","t","m","c","t"
"7","Day_10_2","t","c","m","t","c"
"8","Day_10_3","m","m","m","m","m"
"9","Day_10_4","t","t","t","m","t"
"10","Day_10_5","t","t","t","t","t"
"11","Day_11_1","t","m","m","m","m"
"12","Day_11_2","t","t","m","t","m"
"13","Day_11_3","m","m","m","m","m"
"14","Day_11_4","t","t","t","t","t"
"15","Day_11_5","t","t","t","t","t"
"16","Day_12_1","m","m","m","m","m"
"17","Day_12_2","t","t","t","c","t"
"18","Day_12_3","m","m","m","m","m"
"19","Day_12_4","t","t","t","t","t"
"20","Day_12_5","t","t","t","t","t"
"21","Day_2_1","t","t","c","c","t"
"22","Day_2_2","t","c","c","t","m"
"23","Day_2_3","t","t","t","t","t"
"24","Day_2_4","t","t","t","t","t"
"25","Day_2_5","t","t","t","t","t"
"26","Day_3_1","t","t","t","m","t"
"27","Day_3_2","m","t","t","m","m"
"28","Day_3_3","t","t","t","t","t"
"29","Day_3_4","t","t","t","t","t"
"30","Day_3_5","t","t","t","t","t"
"31","Day_4_1","t","m","t",NA,"m"
"32","Day_4_2","t","t","t",NA,"m"
"33","Day_4_3","m","m","m",NA,"m"
"34","Day_4_4","t","t","t",NA,"t"
"35","Day_4_5","t","t","t",NA,"t"
"36","Day_5_1","m","m","c","m","m"
"37","Day_5_2","m","c","c","m","m"
"38","Day_5_3","c","m","c","m","m"
"39","Day_5_4","t","m","m","m","m"
"40","Day_5_5","t","t","t","t","t"
"41","Day_6_1","c","m","m","m","m"
"42","Day_6_2","t","t","t","t","t"
"43","Day_6_3","t","c","t","c","t"
"44","Day_6_4","m","m","m","m","m"
"45","Day_6_5","t","c","t","c","c"
"46","Day_7_1","t","t","t","c","t"
"47","Day_7_2","m","t","m","t","m"
"48","Day_7_3","m","c","t","c","m"
"49","Day_7_4","t","t","t","t","t"
"50","Day_7_5","t","t","t","c","t"
"51","Day_8_1","t","t","t","m","t"
"52","Day_8_2","t","c","t","t","t"
"53","Day_8_3","t","t","t","m","t"
"54","Day_8_4","t","m","t","t","t"
"55","Day_8_5","t","t","t","t","t"
"56","Day_9_1","t","t","t","t","t"
"57","Day_9_2","t","t","t","t","m"
"58","Day_9_3","t","m","m","m","c"
"59","Day_9_4","t","t","t","t","t"
"60","Day_9_5","t","t","t","t","c"
