"","Coef_names","Coefficients","CI_Upper","CI_Lower","Resp_Ideology","P_Value","Standard_Error"
"1","Study 5",0.136581801462591,0.213174344919108,0.0599892580060744,"Liberal","0.00163959016996018","0.0361301721754519"
"2","Study 5",0.0774032296788311,0.204924203975231,-0.0501177446175682,"Moderate","0.216487974183688","0.0601540900639496"
"3","Study 5",0.0667069768400272,0.206340726050377,-0.0729267723703229,"Conservative","0.326256065663274","0.0658679183742993"
"4","Study 4",0.0888888888888889,0.207210186577689,-0.0294324087999113,"Liberal","0.127603465905226","0.0543053979110594"
"5","Study 4",0.0619469026548673,0.132965640794658,-0.00907183548492371,"Moderate","0.081654415184452","0.0325951532746563"
"6","Study 4",0.0507246376811594,0.157980282731452,-0.056531007369133,"Conservative","0.323129954083448","0.0492266447075555"
"7","Study 3",0.0771428571428571,0.12920338555393,0.025082328731784,"Liberal","0.00495717308275387","0.0255582876966601"
"8","Study 3",0.121212121212121,0.192635400217867,0.0497888422063751,"Moderate","0.0015646471607137","0.0350641218747103"
"9","Study 3",0.00597014925373134,0.0737033214133205,-0.0617630229058578,"Conservative","0.858645967729072","0.0332525226596429"
"10","Study 2",0.0692771084337349,0.127521556095298,0.0110326607721723,"Liberal","0.0212395816251057","0.0285941844138227"
"11","Study 2",0.0925373134328358,0.152584096835379,0.0324905300302928,"Moderate","0.00363000997698281","0.0294790124553328"
"12","Study 2",0.0524781341107872,0.105367806713603,-0.000411538492028227,"Conservative","0.0517034651217364","0.0259653428388445"
"13","Study 1",0.0895821826064964,0.171985802130946,0.00717856308204654,"Liberal","0.0354904843055576","0.037820421471006"
"14","Study 1",0.0372382435980211,0.100533967204808,-0.0260574800087658,"Moderate","0.22411068990666","0.0290505557636422"
"15","Study 1",0.0475428495820046,0.126843071027474,-0.031757371863465,"Conservative","0.215946633592638","0.0363960687057186"
