"","Coef","Low_Conf","Upp_Conf","Measure","Type_News","P_Value","Standard_Error"
"2",0.0499,-0.1161,0.2159,"Ordinal (7)","0-25%","0.563064268614927","0.156997928663029"
"3",0.1117,-0.0454,0.2688,"Ordinal (4)","0-25%","0.174742696545429","0.0776414535449043"
"4",0.1906,0.0322,0.349,"True (Dummy)","0-25%","0.0240944718581427","0.0381129666899063"
"5",0.2116,-0.0537,0.477,"Ordinal (7)","25-50%","0.122985885719225","0.244008872037129"
"6",0.244,-0.0022,0.4901,"Ordinal (4)","25-50%","0.0570334746801201","0.117749655354658"
"7",0.3449,0.0918,0.598,"True (Dummy)","25-50%","0.0116386246554547","0.0608440986849146"
"8",-0.1017,-0.2804,0.0769,"Ordinal (7)","50-75%","0.252464565151172","0.161934888670563"
"9",-0.0784,-0.2366,0.0797,"Ordinal (4)","50-75%","0.305653392425444","0.0730556740446827"
"10",0.0246,-0.1774,0.2266,"True (Dummy)","50-75%","0.800673292114021","0.0468930797407151"
"11",-0.0742,-0.3279,0.1795,"Ordinal (7)","75-100%","0.556935760578155","0.232385708756319"
"12",0.0129,-0.2355,0.2612,"Ordinal (4)","75-100%","0.556935760578155","0.232385708756319"
"13",0.0918,-0.1372,0.3208,"True (Dummy)","75-100%","0.556935760578155","0.232385708756319"
