"","Study","Coef_names","Coefficients","CI_Upper","CI_Lower","P_Value","Standard_Error"
"1","True","Study 1",0.0717445081169813,0.102248274655155,0.0412407415788074,"1e-04","0.0166"
"2","False/
Misleading","Study 1",0.0567947353054622,0.108096599041936,0.00549287156898803,"0.0374","0.0243"
"3","True","Study 2",0.0211710221634139,0.0451397850620807,-0.002797740735253,"0.0827","0.0121"
"4","False/
Misleading","Study 2",0.0712871287128716,0.103693771867192,0.0388804855585516,"1e-04","0.0159"
"5","True","Study 3",0.046716316858497,0.0698431916594759,0.0235894420575181,"1e-04","0.0117"
"6","False/
Misleading","Study 3",0.0661914460285131,0.10586635166522,0.0265165403918062,"0.0018","0.0195"
"7","True","Study 4",0.0295774647887323,0.0722057650379868,-0.0130508354605223,"0.165","0.0207"
"8","False/
Misleading","Study 4",0.0673575129533682,0.133002264189307,0.00171276171742978,"0.0451","0.0301"
"9","True","Study 5",0.151485352692624,0.192261070848736,0.110709634536513,"0","0.0204"
"10","False/
Misleading","Study 5",0.106776037913684,0.185244548679583,0.0283075271477848,"0.0143","0.0388"
